date time,dewpoint,humidity,pressure,temperature
2014-06-07T06:00:00,2,37,1017,4
2014-06-07T16:50:00,-3,68,1017,5
2014-06-07T22:20:00,2,59,1017,8
2014-06-07T16:00:00,2,63,1018,7
2014-06-07T11:20:00,2,63,1017,6
2014-06-07T16:20:00,1,56,1018,7
2014-06-07T23:50:00,-4,63,1017,4
2014-06-07T13:50:00,0,59,1017,4
2014-06-07T21:50:00,2,37,1016,4
2014-06-07T15:50:00,2,40,1017,6
2014-06-07T20:50:00,-4,63,1018,5
2014-06-07T04:50:00,2,77,1017,5
2014-06-07T06:50:00,0,51,1017,8
2014-06-07T22:50:00,2,89,1018,8
2014-06-07T19:20:00,-1,88,1018,8
2014-06-07T19:50:00,-2,83,1010,4
2014-06-07T11:00:00,1,94,1012,9
2014-06-07T20:00:00,1,94,1009,4
2014-06-06T08:20:00,-3,86,1012,9
2014-06-06T11:50:00,0,74,1010,9
2014-06-06T08:00:00,-4,82,1009,9
2014-06-06T11:00:00,-3,82,1010,4
2014-06-06T13:00:00,-2,88,1010,6
2014-06-06T11:20:00,-3,69,1010,7
2014-06-06T03:20:00,0,88,1010,9
2014-06-06T06:50:00,0,94,1010,4
2014-06-06T23:50:00,,76,1010,4
2014-06-06T06:00:00,0,87,1010,9
2014-06-06T01:20:00,1,94,1010,4
2014-06-06T06:20:00,-3,88,1010,5
2014-06-06T05:20:00,14,88,1009,8
2014-06-06T05:00:00,14,78,1012,9
2014-06-06T13:20:00,11,71,1010,5
2014-06-06T09:50:00,14,82,1010,8
2014-06-06T05:50:00,11,88,1010,5
2014-06-06T21:50:00,13,87,1012,5
2014-06-06T22:20:00,12,87,1010,9
2014-06-06T04:50:00,11,88,1009,9
2014-06-06T04:20:00,12,94,1009,9
2014-06-06T14:00:00,11,87,1010,5
2014-06-06T04:00:00,14,83,1011,9
2014-06-06T20:00:00,14,94,1010,4
2014-06-06T23:00:00,11,71,1011,10
2014-06-06T09:20:00,11,84,1013,9
2014-06-06T09:00:00,14,87,1010,9
2014-06-06T22:50:00,11,82,1009,4
2014-06-06T23:20:00,14,88,1009,6
2014-06-06T17:00:00,11,71,1010,6
2014-06-06T10:00:00,11,88,1010,8
2014-06-06T20:20:00,11,88,1010,6
2014-06-06T10:20:00,11,94,1010,7
